index,date,home_team,away_team,goals_home,goals_away,result,shots_home,shots_away,shots_on_target_home,shots_on_target_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,odds_home,odds_draw,odds_away
0,17/08/13,Sociedad,Getafe,2,0,home win,16,15,6,2,6,5,1,1,1.73,3.6,4.75
1,17/08/13,Valencia,Malaga,1,0,home win,9,11,1,2,9,6,3,5,1.53,4.0,6.0
2,17/08/13,Valladolid,Ath Bilbao,1,2,away win,8,13,2,3,5,5,1,0,2.5,3.3,2.8
3,18/08/13,Barcelona,Levante,7,0,home win,22,4,13,1,9,3,1,3,1.08,10.0,26.0
4,18/08/13,Osasuna,Granada,1,2,away win,14,13,5,4,7,6,1,4,2.0,3.3,3.75
5,18/08/13,Real Madrid,Betis,2,1,home win,20,11,9,4,5,7,1,2,1.17,7.0,17.0
6,18/08/13,Sevilla,Ath Madrid,1,3,away win,14,16,5,6,1,9,4,4,2.8,3.3,2.5
7,19/08/13,Almeria,Villarreal,2,3,away win,15,14,2,4,6,10,2,0,2.6,3.2,2.75
8,19/08/13,Celta,Espanol,2,2,draw,15,6,10,5,7,2,4,4,2.2,3.2,3.4
9,19/08/13,Vallecano,Elche,3,0,home win,11,8,5,1,3,4,2,2,2.25,3.25,3.25
10,23/08/13,Ath Bilbao,Osasuna,2,0,home win,8,18,2,5,5,10,2,2,1.62,3.75,5.5
11,23/08/13,Getafe,Almeria,2,2,draw,14,16,5,7,2,7,2,1,1.85,3.5,4.2
12,24/08/13,Elche,Sociedad,1,1,draw,12,11,2,4,4,2,4,3,3.2,3.4,2.2
13,24/08/13,Espanol,Valencia,3,1,home win,13,8,3,2,6,3,3,3,3.0,3.25,2.38
14,24/08/13,Villarreal,Valladolid,2,1,home win,17,6,6,2,8,3,4,2,1.85,3.6,4.0
15,25/08/13,Ath Madrid,Vallecano,5,0,home win,14,7,5,1,8,3,0,1,1.29,5.25,10.0
16,25/08/13,Betis,Celta,1,2,away win,20,13,6,4,12,8,1,3,1.8,3.5,4.5
17,25/08/13,Levante,Sevilla,0,0,draw,8,18,3,3,5,7,3,5,3.5,3.3,2.1
18,25/08/13,Malaga,Barcelona,0,1,away win,9,15,3,11,2,11,3,2,13.0,6.0,1.22
19,26/08/13,Granada,Real Madrid,0,1,away win,8,21,3,8,5,8,4,2,7.5,5.5,1.33
20,30/08/13,Almeria,Elche,2,2,draw,9,15,5,9,4,5,3,5,2.0,3.3,3.8
21,30/08/13,Vallecano,Levante,1,2,away win,23,6,8,2,8,1,4,3,1.73,3.6,4.75
22,31/08/13,Celta,Granada,1,1,draw,17,3,4,1,6,5,1,2,2.2,3.3,3.3
23,31/08/13,Osasuna,Villarreal,0,3,away win,9,9,3,4,7,8,3,2,2.5,3.2,2.88
24,31/08/13,Valladolid,Getafe,1,0,home win,21,16,6,0,10,5,2,2,2.1,3.3,3.5
25,01/09/13,Espanol,Betis,0,0,draw,10,8,3,3,7,7,2,4,2.05,3.4,3.6
26,01/09/13,Real Madrid,Ath Bilbao,3,1,home win,20,12,7,2,9,6,1,2,1.17,7.0,16.0
27,01/09/13,Sevilla,Malaga,2,2,draw,15,15,7,6,10,1,3,3,1.62,3.8,5.5
28,01/09/13,Sociedad,Ath Madrid,1,2,away win,10,16,4,9,5,5,2,4,2.9,3.3,2.38
29,01/09/13,Valencia,Barcelona,2,3,away win,16,20,10,9,5,7,2,3,5.5,4.33,1.53
30,14/09/13,Ath Madrid,Almeria,4,2,home win,20,7,8,2,8,1,2,4,1.25,6.0,11.0
31,14/09/13,Barcelona,Sevilla,3,2,home win,19,7,10,2,6,9,2,5,1.18,7.0,15.0
32,14/09/13,Levante,Sociedad,0,0,draw,13,13,5,3,5,1,3,1,3.1,3.25,2.3
33,14/09/13,Villarreal,Real Madrid,2,2,draw,19,20,9,6,10,3,2,3,5.5,4.2,1.57
34,15/09/13,Betis,Valencia,3,1,home win,21,5,9,2,7,13,0,1,2.63,3.3,2.63
35,15/09/13,Getafe,Osasuna,2,1,home win,14,11,5,6,7,4,2,4,1.95,3.3,4.0
36,15/09/13,Granada,Espanol,0,1,away win,9,7,1,3,4,4,3,3,2.4,3.2,3.0
37,15/09/13,Malaga,Vallecano,5,0,home win,17,12,9,2,6,5,1,2,1.91,3.5,4.0
38,16/09/13,Ath Bilbao,Celta,3,2,home win,16,8,6,3,4,2,2,3,1.67,3.75,5.0
39,16/09/13,Elche,Valladolid,0,0,draw,10,8,5,4,10,4,4,1,2.25,3.25,3.25
40,20/09/13,Osasuna,Elche,2,1,home win,8,13,3,4,5,8,2,1,2.0,3.4,3.75
41,21/09/13,Almeria,Levante,2,2,draw,13,16,8,7,1,7,4,7,1.8,3.5,4.5
42,21/09/13,Sociedad,Malaga,0,0,draw,10,11,2,4,5,4,3,3,1.91,3.5,4.0
43,21/09/13,Valladolid,Ath Madrid,0,2,away win,12,15,2,6,2,6,2,2,5.0,3.6,1.7
44,21/09/13,Vallecano,Barcelona,0,4,away win,14,14,9,8,6,14,2,1,13.0,6.5,1.2
45,22/09/13,Betis,Granada,0,0,draw,19,4,6,1,5,3,4,1,1.67,3.6,5.5
46,22/09/13,Celta,Villarreal,0,0,draw,5,12,1,4,2,6,5,1,2.75,3.3,2.5
47,22/09/13,Real Madrid,Getafe,4,1,home win,29,7,11,4,9,5,1,3,1.13,8.5,19.0
48,22/09/13,Valencia,Sevilla,3,1,home win,26,9,6,3,8,8,2,1,1.91,3.4,4.0
49,23/09/13,Espanol,Ath Bilbao,3,2,home win,11,9,6,3,3,6,2,2,2.3,3.4,3.0
50,24/09/13,Ath Madrid,Osasuna,2,1,home win,13,7,4,1,11,2,3,1,1.2,6.0,15.0
51,24/09/13,Barcelona,Sociedad,4,1,home win,23,9,9,5,6,1,0,1,1.13,8.0,19.0
52,24/09/13,Levante,Valladolid,1,1,draw,24,4,4,2,7,0,2,4,2.1,3.3,3.5
53,24/09/13,Malaga,Almeria,2,0,home win,16,7,7,2,9,5,2,1,1.67,3.75,5.0
54,25/09/13,Elche,Real Madrid,1,2,away win,11,12,3,5,4,5,8,2,10.0,5.5,1.29
55,25/09/13,Granada,Valencia,0,1,away win,13,14,4,3,5,5,4,2,3.1,3.25,2.3
