index,result,odds_home,odds_draw,odds_away,points_home,points_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,shots_given_home,shots_given_away,shots_conceded_home,shots_conceded_away,corners_difference_home,corners_difference_away
50.0,home win,1.2,6.0,15.0,15,3,16,4,4,10,81,60,50,57,24,-1
51.0,home win,1.13,8.0,19.0,15,6,18,4,4,3,90,60,50,67,22,-4
52.0,draw,2.1,3.3,3.5,6,4,4,3,10,6,47,55,89,71,-5,-10
53.0,home win,1.67,3.75,5.0,5,3,7,10,4,13,63,60,61,79,-21,-13
54.0,away win,10.0,5.5,1.29,3,13,4,12,8,5,58,110,47,57,13,1
55.0,away win,3.1,3.25,2.3,5,6,3,8,4,10,37,64,78,74,-7,4
56.0,home win,1.44,4.2,7.5,2,3,6,4,11,16,63,67,84,59,6,-8
57.0,home win,1.95,3.5,3.75,9,5,10,5,9,5,58,79,65,52,-3,2
58.0,home win,2.1,3.3,3.5,4,6,5,7,10,7,66,58,93,57,-12,-4
59.0,home win,1.73,3.5,5.0,11,11,10,9,5,5,71,47,55,49,21,-5
60.0,draw,2.9,3.2,2.45,5,8,3,9,5,3,51,68,82,59,-17,-14
61.0,away win,13.0,7.0,1.18,3,15,8,15,12,5,52,91,81,55,-13,21
62.0,away win,1.62,3.75,5.5,13,15,12,15,5,4,102,78,57,43,4,25
63.0,draw,2.2,3.4,3.2,3,5,3,9,7,9,53,65,75,78,-10,16
64.0,home win,1.29,5.25,10.0,6,0,8,2,10,20,69,66,76,67,1,-9
65.0,home win,2.5,3.3,2.75,5,11,5,9,5,4,78,65,52,52,-4,15
66.0,away win,1.91,3.4,4.0,5,3,5,5,7,7,52,61,65,48,-15,11
67.0,away win,1.7,3.6,5.0,10,7,8,7,5,8,53,65,42,86,2,-5
68.0,away win,2.05,3.3,3.6,3,7,4,5,10,4,53,67,57,71,-11,8
69.0,home win,2.75,3.3,2.5,2,9,1,10,4,9,37,65,78,67,-6,1
70.0,away win,1.53,4.0,6.0,9,3,11,4,4,9,70,55,57,64,-12,-13
71.0,home win,1.44,4.33,7.0,8,5,7,3,4,3,55,42,57,68,11,0
72.0,home win,1.09,10.0,21.0,15,6,16,4,5,5,91,58,51,76,13,-5
73.0,home win,2.5,3.3,2.75,5,7,5,5,6,6,63,54,44,41,6,9
74.0,away win,9.0,5.0,1.33,9,10,6,11,4,6,74,101,73,62,7,-4
75.0,home win,2.9,3.4,2.38,0,3,2,3,16,7,72,59,58,73,-2,-5
76.0,draw,2.1,3.5,3.3,6,9,8,8,11,7,68,66,62,76,3,2
